contest_group_id,contest_name,choice,choice_party,sum
1266,NC HOUSE OF REPRESENTATIVES DISTRICT 086 (DEM),Robert Griner,DEM,400
15,RANDOLPH COUNTY SHERIFF (REP),Robert Graves,REP,6290
13,WAKE COUNTY BOARD OF COMMISSIONERS DISTRICT 5 (DEM),"Robert Finch, Sr.",DEM,10308
4,ALAMANCE COUNTY BOARD OF COMMISSIONERS (DEM),Robert E. (Bob) Byrd,DEM,3902
13,GRANVILLE COUNTY SHERIFF (DEM),"Robert D. Fountain, Jr.",DEM,1402
21,CARTERET COUNTY BOARD OF EDUCATION DISTRICT 3 (REP),Robert Clark Jenkins,REP,1070
1286,NC HOUSE OF REPRESENTATIVES DISTRICT 093 (REP),Robert Block,REP,1245
15,BRUNSWICK COUNTY BOARD OF EDUCATION DISTRICT 5 (REP),Robert B. Cruse,REP,1396
7,CLAY COUNTY BOARD OF EDUCATION (REP),Robert (Robbie) Caldwell,REP,1297
1,GATES COUNTY SHERIFF (DEM),Robert (O.J.) Jordan,DEM,813
4,GREENE COUNTY BOARD OF COMMISSIONERS DISTRICT 4 (DEM),Robert (Bobby) Glossip,DEM,677
1469,NC STATE SENATE DISTRICT 34 (REP),Robert (Bob) Rucho,REP,3636
1,NEW HANOVER COUNTY BOARD OF COMMISSIONERS (DEM),Rob Zapple,DEM,7215
12,DARE COUNTY BOARD OF COMMISSIONERS DISTRICT 2 (REP),Rob Ross,REP,1407
16,GRANVILLE COUNTY BOARD OF EDUCATION DISTRICT 3,Rob Rivers,,355
1,RICHMOND COUNTY BOARD OF COMMISSIONERS (DEM),Rick Watkins,DEM,1950
10,WAYNE COUNTY BOARD OF EDUCATION DISTRICT 6,Rick Pridgen,,434
9,STOKES COUNTY BOARD OF COMMISSIONERS (REP),Rick Morris,REP,1240
15,DARE COUNTY BOARD OF EDUCATION DISTRICT 1 (REP),Rick Casey,REP,1030
36,STANLY COUNTY SHERIFF (REP),Rick Burris,REP,817
9,CABARRUS COUNTY SHERIFF (REP),Rick Barrett,REP,912
13,DAVIDSON COUNTY SHERIFF (REP),Richie Simmons,REP,11329
21,ROBESON COUNTY BOARD OF EDUCATION DISTRICT 3,Richard Monroe (Write-In),,1
23,ROBESON COUNTY BOARD OF EDUCATION DISTRICT 8,Richard Monroe,,1456
1533,US HOUSE OF REPRESENTATIVES DISTRICT 04 (DEM),Richard L. Watkins,DEM,4391
3,JOHNSTON COUNTY BOARD OF COMMISSIONERS DISTRICT 3 (REP),Richard D. (Dickie) Braswell,REP,4351
1167,NC HOUSE OF REPRESENTATIVES DISTRICT 053 (DEM),Richard Chapman,DEM,1640
12,PITT COUNTY BOARD OF COMMISSIONERS DISTRICT 3 (REP),Richard Allsbrook,REP,976
16,NORTHAMPTON COUNTY BOARD OF EDUCATION,Rhonda Taylor,,2461
3,ONSLOW COUNTY BOARD OF COMMISSIONERS (REP),Reva R. Sullivan,REP,3207
22,PENDER COUNTY BOARD OF EDUCATION DISTRICT 4 (DEM),Reginald Terrell Moore,DEM,826
9,HENDERSON COUNTY BOARD OF COMMISSIONERS DISTRICT 4 (REP),Rebecca McCall,REP,6148
1,HALIFAX COUNTY BOARD OF COMMISSIONERS AT-LARGE (DEM),Rebecca Lynch Copeland,DEM,2996
1071,NC HOUSE OF REPRESENTATIVES DISTRICT 021 (DEM),Raymond Smith,DEM,1511
6,GRAHAM COUNTY BOARD OF COMMISSIONERS (REP),Raymond David Williams Sr.,REP,538
46,LINCOLN COUNTY BOARD OF COMMISSIONERS (REP),Raye Watson-Smyth,REP,1734
1,MECKLENBURG COUNTY BOARD OF COMMISSIONERS AT-LARGE (DEM),Ray McKinnon,DEM,21007
10,GATES COUNTY BOARD OF COMMISSIONERS GATES DISTRICT (DEM),Ray Freeman,DEM,1085
1,GATES COUNTY SHERIFF (DEM),Ray Campbell,DEM,879
980034,TOWN OF SHARPSBURG MAYOR,Randy Weaver,,162
6,BRUNSWICK COUNTY BOARD OF COMMISSIONERS DISTRICT 1 (REP),Randy Thompson,REP,4238
16,BUNCOMBE COUNTY SHERIFF (DEM),Randy Smart,DEM,5847
1,YANCEY COUNTY BOARD OF COMMISSIONERS (DEM),Randy Ollis,DEM,836
1,GATES COUNTY SHERIFF (DEM),Randy Hathaway,DEM,279
1,YANCEY COUNTY BOARD OF COMMISSIONERS (DEM),Randy Griggs,DEM,285
16,ROBESON COUNTY SHERIFF (DEM),Randy Graham,DEM,2577
15,PENDER COUNTY SHERIFF (REP),Randy Burton,REP,774
1393,NC STATE SENATE DISTRICT 08 (LIB),Randolph W. (Randy) Crow,LIB,38
26,WILKES COUNTY BOARD OF EDUCATION,Randall (Rudy) Holbrook,,4122
24,PITT COUNTY SHERIFF (REP),Randall (Randy) Mitchell,REP,1640
10,HALIFAX COUNTY BOARD OF EDUCATION,Rachel Lynch,,1243
12,JOHNSTON COUNTY BOARD OF COMMISSIONERS DISTRICT 7 (REP),"R.S. (Butch) Lawter, Jr.",REP,4968
4,TYRRELL COUNTY SHERIFF (DEM),R. Kevin Sawyer,DEM,360
16,BUNCOMBE COUNTY SHERIFF (DEM),R. Daryl Fisher,DEM,3354
14,SURRY COUNTY BOARD OF EDUCATION DISTRICT 2,R. D. Bingman,,1747
6,RUTHERFORD COUNTY BOARD OF EDUCATION DISTRICT 1 (REP),R. A. (Rick) Henson,REP,2577
