contest_group_id,contest_name,choice,choice_party,sum
4,ALAMANCE COUNTY BOARD OF COMMISSIONERS,Timothy (Tim) Sutton,REP,33152
12,FORSYTH SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Timothy (Tim) Lee Disher,,45047
1,SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Tim Yarbrough,,9555
760010,ARCHDALE CITY COUNCIL AT-LARGE,Tim Williams,,4102
1,CHEROKEE COUNTY BOARD OF EDUCATION DISTRICT I,Tim West,REP,7032
1,AVERY COUNTY BOARD OF COMMISSIONERS,Tim Phillips,REP,4968
1186,NC HOUSE OF REPRESENTATIVES DISTRICT 111,Tim Moore,REP,25398
5,CALDWELL COUNTY BOARD OF EDUCATION,Tim Hawkins,,19287
5,WASHINGTON COUNTY REGISTER OF DEEDS,Tim Esolen,DEM,4862
1121,NC HOUSE OF REPRESENTATIVES DISTRICT 046,Tim Benton,DEM,11836
2,DUPLIN COUNTY BOARD OF COMMISSIONERS DISTRICT 1,Tim Bell,DEM,1411
1161,NC HOUSE OF REPRESENTATIVES DISTRICT 086,Tim Barnsback,DEM,12766
5,CAMDEN COUNTY BOARD OF EDUCATION,Tiffany Riggs Bounds,,1251
1278,NC DISTRICT COURT JUDGE DISTRICT 12 (DEVAN),Tiffany Marie Whitfield,,63676
3,AVERY COUNTY SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Thomas Pittman (Write-In),,8
9,SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Thomas Parks Uzzell,,34224
7,HYDE COUNTY BOARD OF COMMISSIONERS OCRACOKE TOWNSHIP,Thomas Pahl,,1560
1387,US HOUSE OF REPRESENTATIVES DISTRICT 8,Thomas Mills,DEM,133182
6,HYDE COUNTY BOARD OF COMMISSIONERS LAKE LANDING TOWNSHIP,Thomas Midgette,,841
4,SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,"Thomas E. Porter, Jr.",,65670
7,IREDELL COUNTY BOARD OF COMMISSIONERS,"Thomas E. (Tommy) Bowles, Jr.",REP,50770
1121,NC HOUSE OF REPRESENTATIVES DISTRICT 046,"Thomas (Tom) Howell, Jr.",LIB,1052
2,CABARRUS COUNTY SCHOOLS BOARD OF EDUCATION,Thomas (Tom) Clark,,28964
2,SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Theron Maybin (Write-In),,6
1362,NC DISTRICT COURT JUDGE DISTRICT 30 (SELLERS),Tessa Shelton Sellers,,43574
7,BEAUFORT COUNTY BOARD OF EDUCATION DISTRICT 9,Terry W. Draper,,1274
1074,NC STATE SENATE DISTRICT 49,Terry Van Duyn,DEM,71828
6,GASTON COUNTY BOARD OF EDUCATION CHERRYVILLE TOWNSHIP,Terry Usery,,62024
2,DAVIE COUNTY BOARD OF COMMISSIONERS,Terry Renegar,REP,12248
1,DAVIE COUNTY BOARD OF EDUCATION,Terry L. Hales,REP,13279
4,SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Terry Hackett (Write-In),,5
1107,NC HOUSE OF REPRESENTATIVES DISTRICT 032,Terry Garrison,DEM,29142
5,MCDOWELL COUNTY BOARD OF EDUCATION NORTH COVE,Terry English,,14046
8,SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Terry Blalock (Write-In),,6
